北京,18日（今天）,多云转小雪,2,-4
北京,19日（明天）,阴转晴,1,-8
北京,20日（后天）,晴转多云,0,-8
北京,21日（周六）,晴,1,-8
北京,22日（周日）,晴,-1,-9
北京,23日（周一）,晴,1,-8
北京,24日（周二）,多云,2,-6
北京,21日（今天）,晴,0,-9
北京,22日（明天）,晴,0,-9
北京,23日（后天）,多云转晴,1,-8
北京,24日（周二）,晴转多云,2,-5
北京,25日（周三）,多云转阴,3,-4
北京,26日（周四）,阴转晴,4,-6
北京,27日（周五）,晴,4,-5
上海,21日（今天）,晴转多云,6,0
上海,22日（明天）,晴转多云,7,0
上海,23日（后天）,晴转多云,7,0
上海,24日（周二）,多云,9,3
上海,25日（周三）,阴转多云,11,5
上海,26日（周四）,晴转多云,13,5
上海,27日（周五）,多云转阴,10,4
西安,21日（今天）,晴,7,-1
西安,22日（明天）,晴,9,-3
西安,23日（后天）,多云转阴,8,-1
西安,24日（周二）,晴转多云,7,-2
西安,25日（周三）,多云转阴,8,-1
西安,26日（周四）,多云转晴,9,-1
西安,27日（周五）,多云转阴,9,1
郑州,21日（今天）,晴,9,-5
郑州,22日（明天）,晴,7,-4
郑州,23日（后天）,晴,8,-4
郑州,24日（周二）,多云,7,-2
郑州,25日（周三）,晴,8,-1
郑州,26日（周四）,多云,11,-2
郑州,27日（周五）,多云转阴,8,-1
合肥,21日（今天）,晴,8,-4
合肥,22日（明天）,多云,6,-3
合肥,23日（后天）,多云,7,-2
合肥,24日（周二）,多云,9,0
合肥,25日（周三）,多云,9,2
合肥,26日（周四）,多云,11,3
合肥,27日（周五）,多云,9,1
广州,21日（今天）,多云,18,8
广州,22日（明天）,晴,18,8
广州,23日（后天）,多云,19,10
广州,24日（周二）,阴,19,12
广州,25日（周三）,小雨转多云,17,11
广州,26日（周四）,多云,21,11
广州,27日（周五）,多云,21,10
深圳,21日（今天）,多云,19,10
深圳,22日（明天）,晴,18,10
深圳,23日（后天）,小雨,18,11
深圳,24日（周二）,多云转小雨,18,14
深圳,25日（周三）,小雨转晴,18,15
深圳,26日（周四）,晴转多云,20,16
深圳,27日（周五）,多云,21,13
武汉,21日（今天）,晴,10,-2
武汉,22日（明天）,晴,11,0
武汉,23日（后天）,晴,12,1
武汉,24日（周二）,阴转晴,12,2
武汉,25日（周三）,晴,12,3
武汉,26日（周四）,晴转多云,13,3
武汉,27日（周五）,多云,13,3
大连,21日（今天）,多云转晴,0,-10
大连,22日（明天）,晴,-3,-9
大连,23日（后天）,晴,-2,-7
大连,24日（周二）,晴,1,-5
大连,25日（周三）,晴,2,-3
大连,26日（周四）,多云,2,-3
大连,27日（周五）,多云,2,-6
五大连池,21日（今天）,多云,-19,-32
五大连池,22日（明天）,晴,-19,-33
五大连池,23日（后天）,晴,-17,-31
五大连池,24日（周二）,晴,-14,-29
五大连池,25日（周三）,晴转多云,-11,-19
五大连池,26日（周四）,小雪,-8,-21
五大连池,27日（周五）,多云,-11,-22
